Frame,Spine_X,Spine_Y,Spine_Z,LeftUpLeg_X,LeftUpLeg_Y,LeftUpLeg_Z,RightUpLeg_X,RightUpLeg_Y,RightUpLeg_Z,Spine1_X,Spine1_Y,Spine1_Z,LeftLeg_X,LeftLeg_Y,LeftLeg_Z,RightLeg_X,RightLeg_Y,RightLeg_Z,Spine2_X,Spine2_Y,Spine2_Z,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,RightFoot_X,RightFoot_Y,RightFoot_Z,Spine3_X,Spine3_Y,Spine3_Z,LeftToeBase_X,LeftToeBase_Y,LeftToeBase_Z,RightToeBase_X,RightToeBase_Y,RightToeBase_Z,Neck_X,Neck_Y,Neck_Z,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,Head_X,Head_Y,Head_Z,LeftArm_X,LeftArm_Y,LeftArm_Z,RightArm_X,RightArm_Y,RightArm_Z,LeftForeArm_X,LeftForeArm_Y,LeftForeArm_Z,RightForeArm_X,RightForeArm_Y,RightForeArm_Z,LeftHand_X,LeftHand_Y,LeftHand_Z,RightHand_X,RightHand_Y,RightHand_Z,LeftHandEE_X,LeftHandEE_Y,LeftHandEE_Z,RightHandEE_X,RightHandEE_Y,RightHandEE_Z
1,-1.5273113250732422,-1.2916468381881714,1.528464674949646,2.5001611709594727,-1.1449729204177856,0.569783091545105,1.6226743459701538,-1.2754727602005005,1.6108298301696777,-0.0029823314398527145,0.023788871243596077,-0.24824050068855286,-0.09459098428487778,0.1781909465789795,-0.11476576328277588,0.048164427280426025,0.040548574179410934,-0.13233956694602966,-0.0049249036237597466,0.07174711674451828,0.10461223125457764,-0.06351535767316818,2.990262985229492,1.3143386840820312,0.05917396396398544,-3.005099058151245,1.3106437921524048,0.0034590461291372776,0.011483757756650448,0.48034387826919556,0.006687245797365904,0.0017925678985193372,-0.2576969265937805,-0.006637045182287693,-0.003562855301424861,-0.34681373834609985,0.009949314408004284,-0.026397349312901497,-0.46894702315330505,1.5731672048568726,-0.21359337866306305,1.2338147163391113,-1.7731653451919556,0.20848427712917328,1.1915256977081299,-0.0005574829992838204,-0.05643555149435997,-0.2870171070098877,-0.23569245636463165,1.0864264965057373,0.922949492931366,0.32006219029426575,-1.1846191883087158,0.8106603026390076,-0.2802894711494446,-0.0024301486555486917,0.00034738073009066284,0.3241460621356964,0.004356672987341881,0.0015235659666359425,-0.3522818982601166,0.05151761695742607,0.13917416334152222,0.07853902876377106,-0.017396146431565285,0.2175440788269043,-3.1415836811065674,1.341104507446289e-07,0.0,-4.559755325317383e-06,2.3469331722481002e-07,-6.034970851942489e-07
2,-1.5273113250732422,-1.2916468381881714,1.528464674949646,2.5001611709594727,-1.1449729204177856,0.569783091545105,1.6226743459701538,-1.2754727602005005,1.6108298301696777,-0.0029823314398527145,0.023788871243596077,-0.24824050068855286,-0.09459098428487778,0.1781909465789795,-0.11476576328277588,0.048164427280426025,0.040548574179410934,-0.13233956694602966,-0.0049249036237597466,0.07174711674451828,0.10461223125457764,-0.06351535767316818,2.990262985229492,1.3143386840820312,0.05917396396398544,-3.005099058151245,1.3106437921524048,0.0034590461291372776,0.011483757756650448,0.48034387826919556,0.006687245797365904,0.0017925678985193372,-0.2576969265937805,-0.006637045182287693,-0.003562855301424861,-0.34681373834609985,0.009949314408004284,-0.026397349312901497,-0.46894702315330505,1.5731672048568726,-0.21359337866306305,1.2338147163391113,-1.7731653451919556,0.20848427712917328,1.1915256977081299,-0.0005574829992838204,-0.05643555149435997,-0.2870171070098877,-0.23569245636463165,1.0864264965057373,0.922949492931366,0.32006219029426575,-1.1846191883087158,0.8106603026390076,-0.2802894711494446,-0.0024301486555486917,0.00034738073009066284,0.3241460621356964,0.004356672987341881,0.0015235659666359425,-0.3522818982601166,0.05151761695742607,0.13917416334152222,0.07853902876377106,-0.017396146431565285,0.2175440788269043,-3.1415836811065674,1.341104507446289e-07,0.0,-4.559755325317383e-06,2.3469331722481002e-07,-6.034970851942489e-07
3,-1.529829978942871,-1.291534423828125,1.5304502248764038,2.498281240463257,-1.1437454223632812,0.568790853023529,1.587258219718933,-1.274657130241394,1.6451739072799683,-0.003430414479225874,0.022370459511876106,-0.24726557731628418,-0.09750235825777054,0.181248739361763,-0.11667308956384659,0.048623740673065186,0.039063721895217896,-0.14104458689689636,-0.005420668050646782,0.06762149184942245,0.10498955100774765,-0.06423842161893845,2.9877471923828125,1.314612627029419,0.05952107161283493,-3.003939628601074,1.313488483428955,0.002674521878361702,0.011031309142708778,0.48085683584213257,0.0066863675601780415,0.0017427346901968122,-0.25518980622291565,-0.006638743914663792,-0.0035393843427300453,-0.34563034772872925,0.009972579777240753,-0.02598518505692482,-0.4686681926250458,1.5719459056854248,-0.21564893424510956,1.2335669994354248,-1.7704304456710815,0.21012941002845764,1.19138765335083,-0.0005110091879032552,-0.05569744110107422,-0.28693491220474243,-0.227929949760437,1.0795238018035889,0.9278326034545898,0.3165208101272583,-1.1806268692016602,0.8122239708900452,-0.2820885479450226,-0.002119843615218997,0.00022316776448860765,0.3248467743396759,0.0031203830149024725,0.0008810542058199644,-0.35077524185180664,0.05265843868255615,0.14286772906780243,0.08025456964969635,-0.0181185994297266,0.22157923877239227,-3.1415839195251465,1.564622067462551e-07,4.6566133171666024e-09,-4.567205905914307e-06,2.365559055306221e-07,-6.10947552104335e-07
4,-1.529332160949707,-1.2914880514144897,1.5299110412597656,2.499126434326172,-1.140443205833435,0.5682746171951294,1.5669351816177368,-1.2707555294036865,1.6683143377304077,-0.0035374003928154707,0.02264069952070713,-0.24698221683502197,-0.09989628195762634,0.18511784076690674,-0.11769869923591614,0.04691491276025772,0.03681251406669617,-0.13565263152122498,-0.0055691273882985115,0.0684543251991272,0.10508198291063309,-0.06515820324420929,2.9845540523529053,1.3147449493408203,0.05995975062251091,-3.00248122215271,1.3156964778900146,0.0026462909299880266,0.011188880540430546,0.4809631109237671,0.0066854446195065975,0.001696408842690289,-0.25285956263542175,-0.006636581849306822,-0.003569211345165968,-0.3471343219280243,0.01017798762768507,-0.025520509108901024,-0.46828457713127136,1.5675277709960938,-0.21494358777999878,1.2346926927566528,-1.7725884914398193,0.20925524830818176,1.1912966966629028,-0.0004186513542663306,-0.05500788614153862,-0.2868213951587677,-0.22272172570228577,1.0730386972427368,0.9338362812995911,0.3125516176223755,-1.17613685131073,0.816569983959198,-0.28282204270362854,-0.0018821308622136712,0.00041303117177449167,0.326392263174057,0.0018291653832420707,0.0004535698681138456,-0.34853240847587585,0.053726062178611755,0.14672544598579407,0.07796464115381241,-0.017772309482097626,0.22368387877941132,-3.1415839195251465,1.1920930376163597e-07,-1.7229469406743192e-08,-4.574656941258581e-06,2.197920991875435e-07,-6.55651035685878e-07
5,-1.5299452543258667,-1.291248083114624,1.5304243564605713,2.4936554431915283,-1.1376550197601318,0.5741909146308899,1.5383275747299194,-1.2667306661605835,1.6989009380340576,-0.003608118509873748,0.022315602749586105,-0.24525798857212067,-0.10297716408967972,0.1895502507686615,-0.11781749129295349,0.0477004237473011,0.033767037093639374,-0.13525323569774628,-0.005642335396260023,0.06750096380710602,0.10579385608434677,-0.06621751934289932,2.980882406234741,1.314645528793335,0.0604894645512104,-3.000713348388672,1.317018985748291,0.00249602016992867,0.011073319241404533,0.4818754196166992,0.0066844020038843155,0.001651161233894527,-0.2505824565887451,-0.006637015845626593,-0.0035631756763905287,-0.34683045744895935,0.01059820968657732,-0.025055186823010445,-0.4677990674972534,1.564504861831665,-0.21530483663082123,1.2352561950683594,-1.7707074880599976,0.20970895886421204,1.1915197372436523,-0.0002785160904750228,-0.05448753014206886,-0.28667712211608887,-0.21986539661884308,1.069687008857727,0.9357297420501709,0.30718356370925903,-1.1692302227020264,0.8214564919471741,-0.28475141525268555,-0.0018558561569079757,0.0002182577009079978,0.3272772431373596,0.0014368303818628192,0.00035525154089555144,-0.34644615650177,0.05428410694003105,0.1491808146238327,0.07568424195051193,-0.017392663285136223,0.2254677265882492,-3.1415836811065674,1.7881393432617188e-07,3.236345946788788e-08,-4.57465603176388e-06,2.1606683731079102e-07,-5.960464477539062e-07
6,-1.529620885848999,-1.2914130687713623,1.5300787687301636,2.5052692890167236,-1.1343917846679688,0.5630548596382141,1.5184016227722168,-1.2679393291473389,1.720950961112976,-0.003668739926069975,0.02247665822505951,-0.24643823504447937,-0.10603580623865128,0.19416716694831848,-0.11880210787057877,0.047241952270269394,0.029976900666952133,-0.132463738322258,-0.005726851988583803,0.06799650192260742,0.10525388270616531,-0.06733492016792297,2.977015733718872,1.3142809867858887,0.061111096292734146,-2.9986143112182617,1.3176090717315674,0.0024821001570671797,0.01116605382412672,0.48111671209335327,0.0066834548488259315,0.0016109225107356906,-0.24855870008468628,-0.006635191850364208,-0.0035880275536328554,-0.34808340668678284,0.011190597899258137,-0.02464623935520649,-0.4672276973724365,1.5635162591934204,-0.21502147614955902,1.2355365753173828,-1.7715880870819092,0.20949169993400574,1.1914174556732178,-0.00010621130059007555,-0.054206494241952896,-0.28650692105293274,-0.21408739686012268,1.0652011632919312,0.9410664439201355,0.3018398880958557,-1.164933681488037,0.8264819979667664,-0.2872050106525421,-0.0023022168315947056,0.0005326881655491889,0.3293133080005646,-4.8510741180507466e-05,-0.00024475535610690713,-0.341949999332428,0.05410660058259964,0.1507885903120041,0.07183871418237686,-0.016764525324106216,0.22888219356536865,-3.1415836811065674,1.862645149230957e-07,1.4202669262886047e-08,-4.589557647705078e-06,2.4586915969848633e-07,-6.183981895446777e-07
7,-1.5315889120101929,-1.2915703058242798,1.5317679643630981,2.503396511077881,-1.1357994079589844,0.5658606886863708,1.4889804124832153,-1.2647862434387207,1.750889778137207,-0.00383389787748456,0.021363068372011185,-0.2473926842212677,-0.10966204851865768,0.1984969526529312,-0.11826106905937195,0.048620857298374176,0.02551606111228466,-0.1315309703350067,-0.005880253855139017,0.06471210718154907,0.10481052845716476,-0.06841253489255905,2.973294496536255,1.3136948347091675,0.06180961802601814,-2.99621844291687,1.3177714347839355,0.0020385643001645803,0.010741585865616798,0.4804762005805969,0.0066827344708144665,0.0015826548915356398,-0.24713583290576935,-0.006635412108153105,-0.0035849304404109716,-0.3479272425174713,0.011842012405395508,-0.024348653852939606,-0.4666089415550232,1.5607075691223145,-0.21516814827919006,1.2361056804656982,-1.770164966583252,0.20953324437141418,1.1917271614074707,6.709825538564473e-05,-0.054175395518541336,-0.28632214665412903,-0.2056085467338562,1.0624181032180786,0.9484240412712097,0.28999388217926025,-1.1593949794769287,0.8376486301422119,-0.28828898072242737,-0.002507522003725171,0.0006771967746317387,0.32957369089126587,-0.000427238701377064,-0.00027468064217828214,-0.34062638878822327,0.0544319674372673,0.15230883657932281,0.06876088678836823,-0.016169724985957146,0.23061467707157135,-3.1415839195251465,1.341104507446289e-07,5.158653948456049e-09,-4.589557647705078e-06,1.9185245037078857e-07,-5.885958671569824e-07
8,-1.530495047569275,-1.2912931442260742,1.5305383205413818,2.4979605674743652,-1.130777359008789,0.5710787177085876,1.4771921634674072,-1.260822057723999,1.764161467552185,-0.004130030050873756,0.021965838968753815,-0.24554292857646942,-0.11195934563875198,0.2020857334136963,-0.11691862344741821,0.04942852258682251,0.020460940897464752,-0.13073696196079254,-0.006283997092396021,0.06658370792865753,0.1055450588464737,-0.0693482756614685,2.9700722694396973,1.3129894733428955,0.06254582107067108,-2.993656635284424,1.3177632093429565,0.0019224872812628746,0.011114413850009441,0.48144271969795227,0.006681960076093674,0.0015562798362225294,-0.24580785632133484,-0.006634680554270744,-0.0035948914010077715,-0.34842953085899353,0.012404551729559898,-0.024204904213547707,-0.46598660945892334,1.5551315546035767,-0.2155359983444214,1.2372187376022339,-1.7706178426742554,0.20870141685009003,1.1920106410980225,0.00020376981410663575,-0.05435514077544212,-0.2861357629299164,-0.20317226648330688,1.0596797466278076,0.9499936103820801,0.2885868549346924,-1.1546967029571533,0.8393571972846985,-0.2906472384929657,-0.0027944885659962893,0.0005283674690872431,0.3303539752960205,-0.000551510660443455,-0.00045161336311139166,-0.3377017378807068,0.05418334901332855,0.15302245318889618,0.06656257063150406,-0.015750091522932053,0.2320210486650467,-3.1415836811065674,1.788139627478813e-07,1.3038517820973539e-08,-4.5746564865112305e-06,2.4028122425079346e-07,-6.034970283508301e-07
9,-1.5301916599273682,-1.2912933826446533,1.5303022861480713,2.498223066329956,-1.1297802925109863,0.5712000727653503,1.4620219469070435,-1.259692668914795,1.780120849609375,-0.004071981180459261,0.022138280794024467,-0.24556663632392883,-0.1129748597741127,0.20464898645877838,-0.11641040444374084,0.05014040321111679,0.01491394080221653,-0.12977030873298645,-0.006219253409653902,0.06708437949419022,0.1055075004696846,-0.07005234807729721,2.9676525592803955,1.312280535697937,0.06325932592153549,-2.9911434650421143,1.3177791833877563,0.002021167892962694,0.011168070137500763,0.481338769197464,0.006681243889033794,0.0015307189896702766,-0.24452245235443115,-0.00663424888625741,-0.0036006069276481867,-0.3487182855606079,0.012746235355734825,-0.024236906319856644,-0.46538206934928894,1.5527443885803223,-0.21528854966163635,1.2377883195877075,-1.7707233428955078,0.20892906188964844,1.1918801069259644,0.0002717540191952139,-0.0546821691095829,-0.2859540581703186,-0.20048774778842926,1.058422565460205,0.9518299698829651,0.28376832604408264,-1.1508985757827759,0.8441142439842224,-0.29211369156837463,-0.002452070591971278,0.0004222368879709393,0.33056432008743286,-0.00043586271931417286,-0.00032214081147685647,-0.33425503969192505,0.05404118821024895,0.15430042147636414,0.06456007808446884,-0.015404196456074715,0.2339150309562683,-3.1415836811065674,1.2665987014770508e-07,2.6542693376541138e-08,-4.567205451166956e-06,3.129243850708008e-07,-5.960464477539062e-07
10,-1.52908194065094,-1.2916263341903687,1.5293712615966797,2.4999728202819824,-1.132569432258606,0.5718368291854858,1.4517663717269897,-1.2625751495361328,1.7923996448516846,-0.003947220742702484,0.022734323516488075,-0.24797843396663666,-0.11337073147296906,0.20615433156490326,-0.11370543390512466,0.05009856075048447,0.009010892361402512,-0.1282113492488861,-0.006091269198805094,0.06883347034454346,0.10444894433021545,-0.07046911865472794,2.966217041015625,1.3116669654846191,0.0638728141784668,-2.9889612197875977,1.3179891109466553,0.0022921538911759853,0.011381754651665688,0.4798741042613983,0.00668045599013567,0.0015051334630697966,-0.2432348132133484,-0.006633415352553129,-0.003611638443544507,-0.34927433729171753,0.012790567241609097,-0.024447983130812645,-0.4647974669933319,1.5513654947280884,-0.2152671068906784,1.2380890846252441,-1.7730351686477661,0.2087196260690689,1.191444993019104,0.00025338397244922817,-0.05510323867201805,-0.28577765822410583,-0.19494326412677765,1.0581462383270264,0.9563212394714355,0.2740043103694916,-1.1459959745407104,0.853728711605072,-0.2935478091239929,-0.002238059649243951,0.00036693832953460515,0.3302602469921112,-1.2735838936350774e-05,3.121048939647153e-05,-0.3294045925140381,0.05381428450345993,0.1560632586479187,0.06398411840200424,-0.015454509295523167,0.23669151961803436,-3.1415836811065674,1.6391278734317893e-07,2.421439049271612e-08,-4.559755325317383e-06,2.5704503059387207e-07,-6.183981895446777e-07
